X;Y;NUMERO_REGISTRO;NOMBRE;DIRECCION;PISO;NUMERO_EXPEDIENTE;CAPACIDAD;CLASE;ESTADO;DISPOSICION;FECHA_DISP_INSCRIPCION;NUMERO_DIPS;FECHA_DISP_RE_INSCRIPCION;NUMERO_DISP_DE_RECHAZO;FECHA_DISPOSICION_DE_RECHAZO;NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD;FECHA_DISPOSICION_DE_CAPACIDAD;FECHA_DE_ENTREGA_NUEVA_REVALIDA;VENCIMIENTO;ESTADO_OBESERVACIONES;NOTIFICADO;FECHA_ENVIO;FECHA_DE_NOTIFICACION
-58.44778240000000;-34.547022900000002;55;CLUB 74;FIGUEROA ALCORTA, PRES. AV. 7474; ;10836/05;180;B;INSCRIPCION VENCIDA;65;18/05/2005;77;09/06/2014; ; ;76;01/06/2006;18/05/2015;11/08/2015;INSCRIPCION VENCIDA; ; ; 
-58.37586759999999;-34.619138900000003;102;CLUB 947;CHACABUCO 947; ;36345/08;1702;ART 1;RENOVADO 2016;103;17/11/2008;111;24/11/2016; ; ;25;04/03/2011;09/08/2017;10/11/2017; ; ; ; 
-58.41628680000000;-34.586512999999997;43;CLUB ARAOZ;ARAOZ 2422; ;10824/05;1030;C;RENOVADO 2017;46;23/03/2005;12;15/02/2017; ; ;73;17/06/2005;07/09/2017;07/12/2017; ; ; ; 
-58.38844209999999;-34.589622400000003;7;CLUB SHAMPOO;QUINTANA, MANUEL, PRES. 362; ;10600/05;220;C;RENOVADO 2017;8;02/03/2005;22;03/03/2017; ; ;88;27/07/2005;02/08/2017;17/08/2017; ; ; ; 
-58.37893379999999;-34.608309200000001;90;COCOLICHE;RIVADAVIA AV. 878; ;21782/07;268;C;RENOVADO 2016;62;11/05/2007;104;21/10/2016; ; ;62;11/05/2007;06/09/2017;03/12/2017; ; ; ; 
-58.3919724;-34.596110000000003;84;CONTRAMANO;RODRIGUEZ PEÑA 1082;PLANTA BAJA;26278/06;335;CC;RENOVADO 2016;115;04/12/2015;114;07/12/2016; ; ;56;23/04/2007;21/07/2017;21/10/2017; ; ; ; 
-58.42280980000000;-34.5715334;72;CROBAR;DEL LIBERTADOR AV. 3883; ;62123/05;2258;C;RENOVADO 2017;57;30/03/2006;71;27/07/2017; ; ;89;09/10/2008;12/09/2017;03/12/2017; ; ; ; 
-58.4652551;-34.552353799999999;121;DISCO SIX;CABILDO AV. 3241; ;23050/11;900;C;RENOVADO 2017;1;10/01/2011;1;10/01/2017; ; ;1;10/01/2011;05/05/2017;03/08/2017; ; ; ; 
-58.47345589999999;-34.541745499999998;53;DOME;CABILDO AV. 4665; ;14497/05;1297;C;RENOVADO 2017;57;04/05/2005;62;19/06/2017; ; ;122;18/08/2005;22/09/2017;03/11/2017; ; ; ; 
-58.36330679999999;-34.622963499999997;76;DORSIA;MOREAU DE JUSTO, ALICIA AV. 2092; ;12648/06;679;C;RENOVADO 2017;65;21/04/2006;80;25/08/2017; ; ;83;18/06/2010;08/08/2017;10/11/2017; ; ; ; 
